day,dayNo,case
Jan22,1,580
Jan23,2,845
Jan24,3,1317
Jan25,4,2015
Jan26,5,2800
Jan27,6,4581
Jan28,7,6058
Jan29,8,7813
Jan30,9,9823
Jan31,10,11950
Feb01,11,14553
Feb02,12,17391
Feb03,13,20630
Feb04,14,24545
Feb05,15,28266
Feb06,16,31439
Feb07,17,34876
Feb08,18,37552
Feb09,19,40553
Feb10,20,43099
Feb11,21,45134
Feb12,22,59287
Feb13,23,64438
Feb14,24,67100
Feb15,25,69197
Feb16,26,71329
Feb17,27,73332
Feb18,28,75184
Feb19,29,75700
Feb20,30,76677
Feb21,31,77673
Feb22,32,78651
Feb23,33,79205
Feb24,34,80087
Feb25,35,80828
Feb26,36,81820
Feb27,37,83112
Feb28,38,84615
Feb29,39,86604
Mar01,40,88585
Mar02,41,90443
Mar03,42,93016
Mar04,43,95314
Mar05,44,98425
Mar06,45,102050
Mar07,46,106099
Mar08,47,109991
Mar09,48,114382
Mar10,49,118950
Mar11,50,126215
Mar12,51,134510
Mar13,52,145417
Mar14,53,156477
Mar15,54,169516
Mar16,55,182440
Mar17,56,198171
Mar18,57,218863
Mar19,58,245019
Mar20,59,275733
Mar21,60,305202
Mar22,61,337705
Mar23,62,379236
Mar24,63,423114
Mar25,64,471721
Mar26,65,532807
Mar27,66,597457
Mar28,67,664331
Mar29,68,724876
Mar30,69,789130
Mar31,70,863184
Apr01,71,940523
Apr02,72,1020920
Apr03,73,1117272
Apr04,74,1201186
Apr05,75,1274854
Apr06,76,1346822
Apr07,77,1429982
Apr08,78,1514776
Apr09,79,1600590
Apr10,80,1694667
Apr11,81,1775429
Apr12,82,1847796
Apr13,83,1919174
Apr14,84,1992903
Apr15,85,2076502
Apr16,86,2161885
Apr17,87,2249004
Apr18,88,2330764
Apr19,89,2406786
Apr20,90,2480741
Apr21,91,2556720
Apr22,92,2637439
Apr23,93,2722857
Apr24,94,2828682
Apr25,95,2919404
Apr26,96,2993292
Apr27,97,3059944
Apr28,98,3136505
Apr29,99,3218183
Apr30,100,3303915
May01,101,3398467
