day,dayNo,case
Jan22,1,17
Jan23,2,25
Jan24,3,41
Jan25,4,56
Jan26,5,80
Jan27,6,106
Jan28,7,132
Jan29,8,170
Jan30,9,213
Jan31,10,259
Feb01,11,304
Feb02,12,362
Feb03,13,426
Feb04,14,492
Feb05,15,565
Feb06,16,638
Feb07,17,724
Feb08,18,813
Feb09,19,910
Feb10,20,1018
Feb11,21,1115
Feb12,22,1261
Feb13,23,1383
Feb14,24,1526
Feb15,25,1669
Feb16,26,1775
Feb17,27,1873
Feb18,28,2009
Feb19,29,2126
Feb20,30,2247
Feb21,31,2360
Feb22,32,2460
Feb23,33,2618
Feb24,34,2699
Feb25,35,2763
Feb26,36,2800
Feb27,37,2858
Feb28,38,2923
Feb29,39,2977
Mar01,40,3050
Mar02,41,3117
Mar03,42,3202
Mar04,43,3285
Mar05,44,3387
Mar06,45,3493
Mar07,46,3598
Mar08,47,3826
Mar09,48,4023
Mar10,49,4297
Mar11,50,4627
Mar12,51,4980
Mar13,52,5427
Mar14,53,5841
Mar15,54,6532
Mar16,55,7180
Mar17,56,8000
Mar18,57,8983
Mar19,58,10077
Mar20,59,11457
Mar21,60,13101
Mar22,61,14739
Mar23,62,16671
Mar24,63,19157
Mar25,64,21746
Mar26,65,24691
Mar27,66,28160
Mar28,67,31831
Mar29,68,35174
Mar30,69,39334
Mar31,70,44043
Apr01,71,49233
Apr02,72,55503
Apr03,73,61465
Apr04,74,67531
Apr05,75,72535
Apr06,76,78141
Apr07,77,86033
Apr08,78,92768
Apr09,79,100434
Apr10,80,107781
Apr11,81,113989
Apr12,82,119554
Apr13,83,125193
Apr14,84,132601
Apr15,85,140791
Apr16,86,147789
Apr17,87,156218
Apr18,88,162894
Apr19,89,167788
Apr20,90,173277
Apr21,91,180561
Apr22,92,187259
Apr23,93,193964
Apr24,94,200381
Apr25,95,206482
Apr26,96,210239
Apr27,97,214748
Apr28,98,221436
Apr29,99,228029
Apr30,100,233824
May01,101,239448
