day,dayNo,case
Apr10,1,1
Apr11,2,1
Apr12,3,1
Apr13,4,1
Apr14,5,1
Apr15,6,1
Apr16,7,1
Apr17,8,1
Apr18,9,1
Apr19,10,1
Apr20,11,1
Apr21,12,1
Apr22,13,1
Apr23,14,1
Apr24,15,1
Apr25,16,1
Apr26,17,1
Apr27,18,1
Apr28,19,1
Apr29,20,6
Apr30,21,6
May01,22,7
May02,23,10
May03,24,10
May04,25,12
May05,26,22
May06,27,25
May07,28,25
May08,29,34
May09,30,34
May10,31,51
May11,32,56
May12,33,65
May13,34,70
May14,35,85
May15,36,106
May16,37,122
May17,38,128
May18,39,130
May19,40,167
May20,41,184
May21,42,197
May22,43,209
May23,44,212
May24,45,222
May25,46,233
May26,47,249
May27,48,256
May28,49,278
May29,50,283
May30,51,310
May31,52,323
Jun01,53,354
Jun02,54,399
Jun03,55,419
Jun04,56,453
Jun05,57,469
Jun06,58,482
Jun07,59,484
Jun08,60,496
Jun09,61,524
Jun10,62,560
Jun11,63,591
Jun12,64,632
Jun13,65,705
Jun14,66,728
Jun15,67,844
Jun16,68,885
Jun17,69,902
Jun18,70,909
Jun19,71,919
Jun20,72,922
Jun21,73,941
Jun22,74,967
Jun23,75,992
Jun24,76,1015
Jun25,77,1076
Jun26,78,1089
Jun27,79,1103
Jun28,80,1118
Jun29,81,1128
Jun30,82,1158
Jul01,83,1190
Jul02,84,1221
Jul03,85,1240
Jul04,86,1248
