day,dayNo,case
Apr30,1,2
May01,2,2
May02,3,2
May03,4,2
May04,5,2
May05,6,4
May06,7,5
May07,8,5
May08,9,7
May09,10,7
May10,11,8
May11,12,9
May12,13,10
May13,14,12
May14,15,12
May15,16,15
May16,17,18
May17,18,20
May18,19,20
May19,20,28
May20,21,30
May21,22,33
May22,23,33
May23,24,39
May24,25,42
May25,26,44
May26,27,49
May27,28,53
May28,29,57
May29,30,65
May30,31,77
May31,32,80
Jun01,33,84
Jun02,34,87
Jun03,35,95
Jun04,36,103
Jun05,37,111
Jun06,38,111
Jun07,39,112
Jun08,40,112
Jun09,41,127
Jun10,42,129
Jun11,43,136
Jun12,44,139
Jun13,45,160
Jun14,46,164
Jun15,47,208
Jun16,48,214
Jun17,49,244
Jun18,50,248
Jun19,51,251
Jun20,52,254
Jun21,53,256
Jun22,54,257
Jun23,55,261
Jun24,56,274
Jun25,57,288
Jun26,58,293
Jun27,59,296
Jun28,60,302
Jun29,61,304
Jun30,62,312
Jul01,63,318
Jul02,64,325
Jul03,65,335
Jul04,66,337
