day,dayNo,case
Mar18,1,2
Mar19,2,2
Mar20,3,2
Mar21,4,2
Mar22,5,3
Mar23,6,3
Mar24,7,3
Mar25,8,12
Mar26,9,16
Mar27,10,22
Mar28,11,28
Mar29,12,29
Mar30,13,35
Mar31,14,36
Apr01,15,36
Apr02,16,39
Apr03,17,39
Apr04,18,39
Apr05,19,39
Apr06,20,39
Apr07,21,39
Apr08,22,39
Apr09,23,39
Apr10,24,40
Apr11,25,40
Apr12,26,43
Apr13,27,45
Apr14,28,45
Apr15,29,48
Apr16,30,48
Apr17,31,52
Apr18,32,57
Apr19,33,61
Apr20,34,65
Apr21,35,70
Apr22,36,74
Apr23,37,76
Apr24,38,84
Apr25,39,84
Apr26,40,88
Apr27,41,89
Apr28,42,95
Apr29,43,97
Apr30,44,106
May01,45,109
May02,46,119
May03,47,124
May04,48,137
May05,49,138
May06,50,146
May07,51,153
May08,52,167
May09,53,252
May10,54,267
May11,55,267
May12,56,441
May13,57,446
May14,58,654
May15,59,654
May16,60,679
May17,61,753
May18,62,761
May19,63,772
May20,64,832
May21,65,866
May22,66,920
May23,67,920
May24,68,920
May25,69,920
May26,70,920
May27,71,1057
May28,72,1057
May29,73,1057
May30,74,1057
May31,75,1057
Jun01,76,1089
Jun02,77,1089
Jun03,78,1089
Jun04,79,1089
Jun05,80,1089
Jun06,81,1089
Jun07,82,1089
Jun08,83,1200
Jun09,84,1200
Jun10,85,1200
Jun11,86,1200
Jun12,87,1321
Jun13,88,1357
Jun14,89,1358
Jun15,90,1382
Jun16,91,1405
Jun17,92,1412
Jun18,93,1416
Jun19,94,1430
Jun20,95,1430
Jun21,96,1430
Jun22,97,1430
Jun23,98,1477
Jun24,99,1489
Jun25,100,1497
Jun26,101,1531
Jun27,102,1531
Jun28,103,1557
Jun29,104,1568
Jun30,105,1594
Jul01,106,1632
Jul02,107,1632
Jul03,108,1632
Jul04,109,1632
