day,dayNo,case
Apr02,1,1
Apr03,2,1
Apr04,3,1
Apr05,4,1
Apr06,5,1
Apr07,6,1
Apr08,7,1
Apr09,8,1
Apr10,9,2
Apr11,10,2
Apr12,11,2
Apr13,12,2
Apr14,13,2
Apr15,14,2
Apr16,15,2
Apr17,16,2
Apr18,17,2
Apr19,18,3
Apr20,19,3
Apr21,20,3
Apr22,21,3
Apr23,22,3
Apr24,23,3
Apr25,24,3
Apr26,25,3
Apr27,26,3
Apr28,27,3
Apr29,28,3
Apr30,29,3
May01,30,3
May02,31,3
May03,32,3
May04,33,3
May05,34,3
May06,35,4
May07,36,4
May08,37,4
May09,38,7
May10,39,7
May11,40,7
May12,41,7
May13,42,7
May14,43,7
May15,44,7
May16,45,7
May17,46,7
May18,47,7
May19,48,7
May20,49,7
May21,50,7
May22,51,7
May23,52,7
May24,53,7
May25,54,7
May26,55,7
May27,56,7
May28,57,7
May29,58,7
May30,59,7
May31,60,7
Jun01,61,7
Jun02,62,7
Jun03,63,7
Jun04,64,7
Jun05,65,7
Jun06,66,7
Jun07,67,7
Jun08,68,10
Jun09,69,10
Jun10,70,10
Jun11,71,10
Jun12,72,10
Jun13,73,10
Jun14,74,11
Jun15,75,11
Jun16,76,11
Jun17,77,11
Jun18,78,11
Jun19,79,11
Jun20,80,11
Jun21,81,11
Jun22,82,11
Jun23,83,18
Jun24,84,18
Jun25,85,18
Jun26,86,21
Jun27,87,21
Jun28,88,22
Jun29,89,22
Jun30,90,24
Jul01,91,30
Jul02,92,30
Jul03,93,30
Jul04,94,30
